sample	FileName	slide	classChr											
1	080613_700_1_1_01.gpr	1	D											
2	080613_700_1_2_03.gpr	1	M											
3	080613_700_1_3_05.gpr	1	N											
4	080613_700_2_1_07.gpr	2	D											
5	080613_700_2_2_09.gpr	2	N											
6	080613_700_2_3_12.gpr	2	N											
7	080613_700_3_1_14.gpr	3	D											
8	080613_700_3_2_16.gpr	3	M											
9	080613_700_3_3_02.gpr	3	D											
10	080613_700_4_1_04.gpr	4	M											
11	080613_700_4_2_06.gpr	4	M											
12	080613_700_4_3_08.gpr	4	D											
13	080613_700_5_1_10.gpr	5	N											
14	080613_700_5_2_13.gpr	5	M											
15	080613_700_5_3_15.gpr	5	M											
16	080613_700_6_1_18.gpr	6	M											
17	080613_700_6_2_19.gpr	6	N											
18	080613_700_6_3_22.gpr	6	D											
19	080613_700_7_1_24.gpr	7	D											
20	080613_700_7_2_26.gpr	7	N											
21	080613_700_7_3_20.gpr	7	D											
22	080613_700_8_1_23.gpr	8	N											
23	080613_700_8_2_25.gpr	8	M											
